Study ID,Study_Publication_Year,Study Class,Treatment Focus (Study level),N Randomized,N Randomized Detail,PTSD Criteria Met at Baseline Percent,PTSD Criteria Met at Baseline Percent Detail,PTSD Severity at Baseline Definition,PTSD Severity at Baseline Mean,PTSD Severity at Baseline Standard Deviation,PTSD Severity at Baseline Detail,Additional PTSD Severity Data,Duration of Symptoms/Diagnosis Mean,Duration of Symptoms/Diagnosis Standard Deviation,Duration of Symptoms/Diagnosis Detail,Active Duty Military Percent,Service-Connected Veteran Percent,Service-Connected Veteran Percent Detail,Veteran Percent,Community Percent,Military Status,Military Status Detail,Age Mean,Age Standard Deviation,Age Detail,Female Percent,Female Detail,Male Percent,Race/Ethnicity Reported,"Race, White","Race, Black","Race, AIAN","Race, Asian","Race, NHPI","Race, Other","Race, Detail","Ethnicity, Hispanic","Ethnicity, Hispanic Detail",Percent Treatment-naive,Percent Treatment-naive Detail,Percent with Depression,Percent with Depression Detail,Percent with TBI History,Percent with TBI History Detail,Trauma Type,Trauma Detail,Trauma Types Mean,Trauma Types Standard Deviation,Trauma Types Detail,Trauma Events Mean,Trauma Events Standard Deviation,Trauma Events Detail,SUD Substance Class,SUD Specific Substance Target,Current SUD Inclusion/Exclusion Criteria,Percent With Any SUD Detail,Patients with Suicidality Excluded,Suicide or Self-Directed Violence Exclusion/Inclusion Criteria,Suicide or Self-Directed Violence Definition,Suicide or Self-Directed Violence Percent,Suicide or Self-Directed Violence Detail,Psychotic Disorder or Symptom Inclusion/Exclusion Criteria,Psychotic Disorder or Symptom Related Definition,Psychotic Disorder or Symptom Related Percent,Psychotic Disorder or Symptom Related Detail,Personality Disorder Definition,Personality Disorder Percent,Personality Disorder Detail,Anxiety Disorder Definition,Anxiety Disorder Percent,Anxiety Disorder Detail,Prior Inpatient Hospitalization Percent,Prior Inpatient Hospitalization Percent Detail,Geometric Point,Risk of Bias Rating,Citation,PTSDPubs ID,Year Added to PTSD-Repository
schnurr2013,2013,Collaborative care,PTSD,195,,0.959,,PDS,33,9,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,"PTSD disability, VA population: 15.90%",1,,Veteran,,45.2,15.4,,0.0872,,0.9128,Race and Ethnicity data reported,0.5641,0.2205,,,,0.2154,,0.1538,,,,0.7026,,,,Mixed,"combat-related, rape/sexual assault, accidents, natural or manmade disaster, community/school violence",4.6,1.6,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Schnurr PP, Friedman MJ, Oxman TE, et al. RESPECT-PTSD: re-engineering systems for the primary care treatment of PTSD, a randomized controlled trial. J Gen Intern Med. 2013 Jan;28(1):32-40. doi: 10.1007/s11606-012-2166-6. PMID: 22865017.",39174,2019
schnurr2022,2022,Psychotherapy,PTSD,916,,1,,CAPS-5,40.1,8.7,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0.4236,PTSD disability claim approved,1,0,Veteran,,45.2,13.4,,0.203,,0.797,Race and Ethnicity data reported,0.6441,0.2718,0.036,0.0273,0.0186,0.0502,,0.1517,,,21.07% receiving psychotherapy at baseline; 67.68% using psychotropic medication at baseline,,"Mood disorder, SCID-5-RV: 69.98%; current mania was an exclusion criterion",62.77%,Positive VA screen for TBI,Mixed,MST; Combat-related; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (life threatening injury; other traumatic event not specified),,,,7.5,2.7,,,,Included,"Current substance use disorders, SCID-5-RV: 7.86%
Lifetime substance use disorders, SCID-5-RV: 26.42%
Substance dependence not in remission for 1 month (not having or needing detoxification): 0% (excluded)",,,BDI-II item 9,0.3483,"Considered as endorsing suicidality if any of the following responses: “I have thoughts of killingmyself, but I would not carry them out,” “I would like to kill myself,” and “I would killmyself if I had the chance”",,,,Excluded: current psychotic symptoms,,,,"Anxiety disorder, SCID-5-RV",0.333,"Additional anxiety diagnoses:
Obsessive compulsive disorder, SCID-5-RV: 5.24%",,,POINT (-95.71289 37.09024),Some Concerns,"Schnurr PP, Chard KM, Ruzek JI, et al. Comparison of prolonged exposure vs cognitive processing therapy for treatment of posttraumatic stress disorder among US veterans: a randomized clinical trial. JAMA Netw Open. 2022 Jan 4;5(1):e2136921. doi: 10.1001/jamanetworkopen.2021.36921. PMID: 35044471.",1586155,2023
schoorl2013,2013,Nonpharmacologic cognitive,PTSD,102,,1,,CAPS,80.6,17.7,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,37.1,11.6,,0.7549,,0.2451,,,,,,,,,,,,,0.6961,,,,Mixed,"other (childhood trauma unspecified, adult trauma unspecified)",,,,,,93.1% experienced ≥2 events,,,,,,,,,,,,,,,,,,,"Panic disorder: 33.33%;


Social anxiety disorder: 36.27%;


GAD: 38.24%;


Obsessive-compulsive disorder: 15.69%",,,POINT (5.281473 52.10081),Some Concerns,"Schoorl M, Putman P, Van Der Does W. Attentional bias modification in posttraumatic stress disorder: a randomized controlled trial. Psychother Psychosom. 2013;82(2):99-105. doi: 10.1159/000341920. PMID: 23295710",41171,2019
schuman2023,2023,CIH,PTSD,35,,1,,PCL-5,55.6,10.77,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,50.6,14.38,,0.143,,0.857,Race data reported,0.914,,,,,0.086,"Reported as ""non-White"", entered as ""Other""",,,,,,,,,Mixed,MST; Combat-related; Natural or manmade disasters,,,,,,,,,,Required to abstain from alcohol and substance use before HRV sessions,,,,,,,,,Excluded: active psychosis,,,,,,,,,POINT (-95.71289 37.09024),High,"Schuman DL, Lawrence KA, Boggero I, et al. A pilot study of a three-session heart rate variability biofeedback intervention for veterans with posttraumatic stress disorder. Appl Psychophysiol Biofeedback. 2023;48(1):51-65. doi: 10.1007/s10484-022-09565-z. PMID: 36331685.",1604999,2023
seo2010,2010,Pharmacotherapy,PTSD,40,,1,,CAPS-2,105.48,6.05,,Additional definitions of PTSD severity at baseline reported in the study,1.3,1.2,,,,,,1,Community,,37.4,8.4,,0.7,,0.3,,,,,,,,,,,,,0,,,,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing accident)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (127.8392 36.38525),Some Concerns,"Seo H-J, Jung Y-E, Bahk W-M, et al. A comparison of mirtazapine and paroxetine for the treatment of patients with posttraumatic stress disorder: a randomized open-label trial. Clin Psychopharmacol Neurosci. 2010;8(2):84-9.",35572,2019
shapiro2015,2015,Psychotherapy,PTSD,17,,,"NR (participants described as having ""moderate to high"" IES-R scores)",IES-R,43.03,14.98,,Additional definitions of PTSD severity at baseline reported in the study,,,study conducted 6 weeks after traumatic event,,,,,1,Community,,39.8,12.9,,0.941,,0.059,,,,,,,,,,,,,,,,,Terrorism/political violence/forced displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (35.00445 31.4611),Some Concerns,"Shapiro E, Laub B. Early EMDR intervention following a community critical incident: a randomized clinical trial. Journal of EMDR Practice and Research. 2015 Feb;9(1):17-27. doi: 10.1891/1933-3196.9.1.17.",47811,2019
shemesh2011,2011,Psychotherapy,PTSD,60,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,57.13,10.99,,0.3333,,0.6667,,,,,,,,,,,,,,,,,Illness/medical procedure,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Shemesh E, Annunziato RA, Weatherley BD, et al. A randomized controlled trial for the safety and promise of cognitive-behavioral therapy using imaginal exposure in patients with posttraumatic stress disorder resulting from cardiovascular illness. J Clin Psychiatry. 2011 Feb;72(2):168-74. doi: 10.4088/JCP.09m05116blu. PMID: 20441725",34244,2019
shestatsky1988,1988,Pharmacotherapy,PTSD,13,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,5.6,,,,,,0.4,0.6,Mixed,,38.5,,,,,,,,,,,,,,,,,,0.2,,0%,,Mixed,"combat-related, accidents, terrorism/political violence/forced displacement, other (accident with death of son)",,,,,,,,,,,,,,,,,,,,,,,GAD,0.2,,0,,POINT (35.00445 31.4611),High,"Shestatsky M, Greenberg D, Lerer B. A controlled trial of phenelzine in posttraumatic stress disorder. Psychiatry Res. 1988 May;24(2):149-55. doi: 10.1016/0165-1781(88)90057-1. PMID: 3406235.",758,2019
simon2008,2008,Psychotherapy & pharmacotherapy,PTSD,25,,1,,SPRINT,16.65,8.2,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,45.61,14.11,,0.5652,,0.4348,Race and Ethnicity data reported,0.7391,0.1304,,0.0435,,0.087,,0.0435,,0%,,0.5217,,,,Mixed,"rape/sexual assault, intimate partner violence, accidents, illness/medical procedure, other (exposure to war)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Simon NM, Connor KM, Lang AJ, et al. Paroxetine CR augmentation for posttraumatic stress disorder refractory to prolonged exposure therapy. J Clin Psychiatry. 2008 Mar;69(3):400-5. PMID: 18348595.",30521,2019
simpson2022,2022,Psychotherapy,PTSD,101,,1,,CAPS-5,33.43,8.05,,Additional definitions of PTSD severity at baseline reported in the study,,,mean age at trauma: 21.51 (SD 12.57),,,,0.29,0.71,Mixed,"Veteran status only assessed for n=66 (left off questionnaire at university site, n=35); values entered reflect reported percentages for those with data",42.1,13.07,,0.56,,0.44,Race and Ethnicity data reported,0.53,0.18,0.05,0.05,,0.19,Other includes study-reported other (6%) and multiracial (13%),0.21,,,49.5% taking psychiatric medication(s) at baseline,,,,,Mixed,"Combat-related; Rape/sexual assault; Community/school violence; Other (""traumatic loss"", ""another trauma type"")",8.47,2.83,,,,,Alcohol,Alcohol,Included,"Current AUD, DSM-5: 100% (inclusion criterion)
Non-tobacco drug use disorder, MINI for DSM-5: 39%
Current cannabis use: 57%
Current tobacco use: 45%
Current other drug use: 22%",,,,,,,Psychotic disorder,0,Exclusion criterion,,,,,,,,,POINT (-95.71289 37.09024),Low,"Simpson TL, Kaysen DL, Fleming CB, et al. Cognitive processing therapy or relapse prevention for comorbid posttraumatic stress disorder and alcohol use disorder: a randomized clinical trial. PLoS One. 2022;17(11):e0276111. doi: 10.1371/journal.pone.0276111. PMID: 36445895.",1613818,2023
sloan2004,2004,Psychotherapy,PTSD,51,,1,,PDS,17.1,6.1,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,18.9,1.6,,1,,0,Race data reported,0.4898,0.2857,,,,0.2245,,,,,,,,,,Mixed,"rape/sexual assault, accidents, child sexual abuse, community/school violence, other (witness to murder)",,,,,,63.27% reported ≥2 tramatic events,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Sloan DM, Marx BP. A closer examination of the structured written disclosure procedure. J Consult Clin Psychol. 2004 Apr;72(2):165-75. doi: 10.1037/0022-006X.72.2.165. PMID: 15065952.",28170,2019
sloan2007,2007,Psychotherapy,PTSD,85,,1,,PDS,18.5,8.1,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,18.7,1.1,,0.8049,,0.1951,Race data reported,0.5732,0.2805,,,,0.1463,,,,,,,,,,Mixed,"rape/sexual assault, community/school violence, accidents, other (witness to murder)",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Sloan DM, Marx BP, Epstein EM, et al. Does altering the writing instructions influence outcome associated with written disclosure? Behav Ther. 2007 Jun;38(2):155-68. doi: 10.1016/j.beth.2006.06.005. PMID: 17499082.",32045,2019
sloan2011,2011,Psychotherapy,PTSD,47,,1,,PSS-I,25,5.4,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,18.9,1.1,,,,,Race and Ethnicity data reported,0.5714,0.2143,,0.0714,,0.1429,,0.0952,,,,,,,,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, other (witness to a murder)",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Sloan DM, Marx BP, Greenberg EM. A test of written emotional disclosure as an intervention for posttraumatic stress disorder. Behav Res Ther. 2011 Apr;49(4):299-304. doi: 10.1016/j.brat.2011.02.001. PMID: 21367400.",36171,2019
sloan2012,2012,Psychotherapy,PTSD,46,,1,,CAPS,73.57,,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,40.65,13.1,,0.65,,0.35,Race and Ethnicity data reported,0.37,0.37,,0.04,,0.22,,0.08,,70%,,0.25,,,,Accidents,,,,"85% had history of physical assault, 60% history of sexual assault",,,Median 10.0,,,Included,"AUD: 10%


SUD ""in full remission"": 38%",,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Low,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540.",39268,2019
sloan2018a,2018,Psychotherapy,PTSD,126,,1,,CAPS-5,36.6,9.51,,Additional definitions of PTSD severity at baseline reported in the study,16.198,15.058,Symptom duration,,,,0.2619,0.7381,Mixed,,43.9,14.6,,0.4762,,0.5278,Race and Ethnicity data reported,0.5476,0.3413,0.0317,0.0159,0.0079,0.0556,,0.0952,,,,0.2936,MDD,,,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,0.348,,POINT (-95.71289 37.09024),Some Concerns,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018b,2018,Psychotherapy,PTSD,198,,1,,CAPS-5,39.6,9.68,,Additional definitions of PTSD severity at baseline reported in the study,27.8,,,0,,,1,0,Veteran,,55.82,12.05,,0,,1,Race data reported,0.742,0.167,0.015,,,0.076,,,,24.75%,,0.5606,,,,Mixed,Combat-related; Child physical abuse; Child sexual abuse; Rape/sexual assault; Accidents; Community/school violence; Other (death or trauma to friend or loved one),,,,,,,,,Included,"SUD: 0%


Alcohol abuse: 2.02%


Cannabis abuse: 2.53%",,,,,,,Current psychotic symptoms,0,,,,,GAD,0.197,,,,POINT (-95.71289 37.09024),Low,"Sloan DM, Unger W, Lee DJ, et al. A randomized controlled trial of group cognitive behavioral treatment for veterans diagnosed with chronic posttraumatic stress disorder. J Trauma Stress. 2018b Dec;31(6):886-98. doi: 10.1002/jts.22338. PMID: 30499227.",51291,2020
sloan2022,2022,Psychotherapy,PTSD,169,,1,,CAPS-5,35.48,,SE 1.12,Additional definitions of PTSD severity at baseline reported in the study,,,,1,,,0,0,Active Duty Military,,33.65,8.43,,0.195,,0.805,Race and Ethnicity data reported,0.349,0.337,,,,0.065,"Other includes ""individuals who identified as American Indian or Alaska Native, Asian, Pacific Islander, or biracial""",0.249,,,,,,0%,"Moderate/severe: 0% (excluded)
Mild: NR",,,,,,,,,,,,,,,,,Excluded current suicide risk,,,,Excluded active psychosis,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Sloan DM, Marx BP, Resick PA, et al. Effect of written exposure therapy vs cognitive processing therapy on increasing treatment efficiency among military service members with posttraumatic stress disorder: a randomized noninferiority trial. JAMA Netw Open. 2022 Jan 4;5(1):e2140911. doi: 10.1001/jamanetworkopen.2021.40911. PMID: 35015065.",1586434,2023
smajkic2001,2001,Pharmacotherapy,PTSD,40,,1,,PSS,39.56,6.87,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,51.34,10.11,,0.5625,,0.4375,,,,,,,,,,,,,,,,,Terrorism/political violence/forced displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Smajkic A, Weine SM, Djuric-Bijedic Z, et al. Sertraline, paroxetine, and venlafaxine in refugee posttraumatic stress disorder with depression symptoms. J Trauma. Stress. 2001 Jul;14(3):445-52. doi: 10.1023/A:1011177420069. PMID: 11534876.",16085,2019
smyth2008,2008,Psychotherapy,PTSD,25,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,,,,,,,0.56,,0.44,Race data reported,0.84,,0.16,,,,,,,,,,,,,Mixed,"combat-related, rape/sexual assault",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Smyth JM, Hockemeyer JR, Tulloch H. Expressive writing and post-traumatic stress disorder: effects on trauma symptoms, mood states, and cortisol reactivity. Br J Health Psychol. 2008 Feb;13(1):85-93. doi: 10.1348/135910707X250866. PMID: 18230238.",30627,2019
somohano2022,2022,Psychotherapy,PTSD+SUD,83,,1,,PCL-5,48.55,,SE 2.37,Additional definitions of PTSD severity at baseline reported in the study,,,Age at first trauma: mean 9.26 (SD 8.70),,,,,1,Community,,34.67,9.27,,1,"Gender
Cisgender female: 98.8%
Gender neutral: 1.2%
Sexual orientation
Heterosexual: 76.5%
Lesbian: 3.7%
Bisexual: 19.8%",0,Race and Ethnicity data reported,0.728,0.086,0.037,,,0.148,"Other
Multiracial: 7.4%
Identity not listed: 7.4%",0.099,,,Previous times in treatment: mean 3.04 (SD 1.91),,,,,,,,,,,,,Mixed Alcohol/Drug,Mixed Alcohol/Drug,Included,"Primary drug of choice
Methamphetamines: 46.2%
Alcohol: 30.8%
Heroin: 9.0%
Prescription opiate: 3.8%
Cocaine: 3.8%
Cannabis: 3.8%
Crack: 1.2%
Other: 1.2%",,,,,Excluded: active suicidality,,,,Excluded: hallucinations,,,,,,,,53.6% currently in residential treatment center (clinical setting for trial),POINT (-95.71289 37.09024),High,"Somohano VC, Bowen S. Trauma-Integrated Mindfulness-Based Relapse Prevention for Women with Comorbid Post-Traumatic Stress Disorder and Substance Use Disorder: A Cluster Randomized Controlled Feasibility and Acceptability Trial. J Integr Complement Med. 2022 May 31;31:31. doi: 10.1089/jicm.2021.0306. PMID: 35648046.",1602354,2023
sonne2016,2016,Psychotherapy & pharmacotherapy,PTSD,207,,1,,HTQ,3.21,,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,43.7,9.7,,0.401,,0.599,,,,,,,,,,,,,0.9855,,,,Terrorism/political violence/forced displacement,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (10.02799 55.98126),Some Concerns,"Sonne C, Carlsson JM, Bech P, et al. Treatment of trauma-affected refugees with venlafaxine versus sertraline combined with psychotherapy - a randomised study. BMC Psychiatry. 2016 Nov 8;16(1):383. doi: 10.1186/s12888-016-1081-5. PMID: 27825327.",45853,2019
spangler2020,2020,Pharmacotherapy,PTSD,75,,0.675,,CAPS,66.4,18.4,,Additional definitions of PTSD severity at baseline reported in the study,,,,0.514,1,,0.486,0,Mixed,,37.8,8.5,,0.149,,0.851,Race data reported,0.635,,,,,0.365,,,,0%,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Low,"Spangler PT, West JC, Dempsey CL, et al. Randomized controlled trial of riluzole augmentation for posttraumatic stress disorder: efficacy of a glutamatergic modulator for antidepressant-resistant symptoms. J Clin Psychiatry. 2020 Oct 27;81(6):27. doi: 10.4088/JCP.20m13233. PMID: 33113596.",1560381,2022
spence2011,2011,Other study class,PTSD,44,,1,,PCL-C,59.07,9.88,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,42.6,13.1,,0.8095,,0.1905,,,,,,,,,,,,,0.619,,,,Mixed,"rape/sexual assault, accidents, community/school violence, other (not specified)",,,,6.3,3.03,,,,,,,,,,,,,,,,,,,,,,,POINT (134.491 -25.73289),High,"Spence J, Titov N, Dear BF, et al. Randomized controlled trial of internet-delivered cognitive behavioral therapy for posttraumatic stress disorder. Depress Anxiety. 2011 Jul;28(7):541-50. doi: 10.1002/da.20835. PMID: 21721073.",37944,2019
spence2014,2014,Other study class,PTSD,125,,0.856,,PSS-I,31.83,9.39,,Additional definitions of PTSD severity at baseline reported in the study,18,15.6,,,,,,1,Community,,41,11.4,,0.864,,0.136,,,,,,,,,,,24.40%,,,,,,Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disasters, terrorism/political violence/forced displacement, other (not specified)",8.52,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (134.491 -25.73289),Some Concerns,"Spence J, Titov N, Johnston L, et al. Internet-based trauma-focused cognitive behavioural therapy for PTSD with and without exposure components: a randomised controlled trial. J Affect Disord. 2014 Jun;162:73-80. doi: 10.1016/j.jad.2014.03.009. PMID: 24767009.",42408,2019
spivak2006,2006,Pharmacotherapy,PTSD,40,,1,,CAPS-2,78.5,15,completers,Additional definitions of PTSD severity at baseline reported in the study,7.6,11.2,,,,,,1,Community,,40.08,9.2,,0.475,,0.525,,,,,,,,,,,,,,,,,Accidents,,,,,1.2,0.5,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (35.00445 31.4611),High,"Spivak B, Strous RD, Shaked G, et al. Reboxetine versus fluvoxamine in the treatment of motor vehicle accident-related posttraumatic stress disorder: a double-blind, fixed-dosage, controlled trial. J Clin Psychopharmacol. 2006 Apr;26(2):152-6. doi: 10.1097/01.jcp.0000203195.65710.f0. PMID: 16633143.",1548487,2019
stappenbeck2015a,2015,Psychotherapy,PTSD+SUD,80,"characteristics for analyzed sample, N=78",1,,PSS-I,29.8,8.9,,Additional definitions of PTSD severity at baseline reported in the study,,,mean 15.1 (SD 10.3) age in years at earliest trauma,0,,,0.269,0.731,Mixed,,44.3,11.5,,0.487,,0.513,Race and Ethnicity data reported,0.423,0.436,0.026,0.013,,0.102,,0.038,,,,,,,,,,,,,6,2.7,,Alcohol,Alcohol,Included,Current alcohol dependence: 100%,,,,,,,,,,,,,,,,0.256,,POINT (-95.71289 37.09024),Some Concerns,"Stappenbeck CA, Luterek JA, Kaysen DL, et al. A controlled examination of two coping skills for daily alcohol use and PTSD symptom severity among dually diagnosed individuals. Behav Res Ther. 2015a Mar;66:8-17. doi: 10.1016/j.brat.2014.12.013. PMID: 25617814.",43808,2020
stecker2014,2014,Psychotherapy,PTSD,300,,1,,PCL-M,59.5,11.7,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,0,Mixed,"""returning service members""",29.4,6.2,,0.1277,,0.8723,Race data reported,0.6934,0.1387,,,,0.1679,,,,100%,,,,,,,,,,,,,,,,Included,,,,"Suicidal thoughts, PHQ-9 item 9, score >0",0.3394,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Stecker T, McHugo GJ, Xie HY, et al. RCT of a brief phone-based CBT intervention to improve PTSD treatment utilization by returning service members. Psychiatr Serv. 2014 Oct;65(10):1232-7. doi: 10.1176/appi.ps.201300433. PMID: 24933496.",44566,2020
stein2002,2002,Pharmacotherapy,PTSD,19,,1,,CAPS,85.1,19.5,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,52.4,7.4,,0,,1,,,,,,,,,,,0%,,,,,,Combat-related,,,,,,,,,,,,,,,,,,Psychotic symptoms,0,,,,,,,,,,POINT (-95.71289 37.09024),High,"Stein MB, Kline NA, Matloff JL. Adjunctive olanzapine for SSRI-resistant combat-related PTSD: a double-blind, placebo-controlled study. Am J Psychiatry. 2002 Oct;159(10):1777-9. doi: 10.1176/appi.ajp.159.10.1777. PMID: 12359687.",24689,2019
stein2021,2021,Pharmacotherapy,PTSD,149,,1,,CAPS-5,33.8,10.2,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,,Mixed,Some sites active-duty military hospitals; eligibility includes veteran or civilian,36,12.4,,0.651,,0.349,Race data reported,0.6438,0.1507,0.0274,0.0616,,0.1164,"Multiracial abstracted as ""other""",,,,,,,,TBI not excluded unless there was serious cognitive impairment,Mixed,Combat-related; Other (not specified),,,,,,,,,Excluded,Current (past 3 months) moderate or severe DSM-5 AUD or SUD: 0% (excluded),,,,,"Excluded: current, imminent risk of suicide assessed by the Columbia-Suicide Severity Rating Scale (threshold NR)",,,,Excluded: active psychosis,,,,,,,,,POINT (-95.71289 37.09024),Low,"Stein MB, Jain S, Simon NM, et al. Randomized, placebo-controlled trial of the angiotensin receptor antagonist losartan for posttraumatic stress disorder. Biol Psychiatry. 2021 Oct 1;90(7):473-81. doi: 10.1016/j.biopsych.2021.05.012. PMID: 34275593.",1574095,2023
steinert2016,2016,Psychotherapy,PTSD,86,,1,,PCL-C,66.6,11,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,27.5,8.4,,0.6071,,0.3929,,,,,,,,,,,,,,,,,Mixed,"intimate partner violence, accidents, rape/sexual assault, combat-related, community/school violence, other (trafficking)",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (104.9069 12.72005),High,"Steinert C, Bumke PJ, Hollekamp RL, et al. Treating post-traumatic stress disorder by resource activation in Cambodia. World Psychiatry. 2016 Jun;15(2):183-5. doi: 10.1002/wps.20303. PMID: 27265714.",45144,2019
stenmark2013,2013,Psychotherapy,PTSD,81,,1,,CAPS,83.69,15.88,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,35.28,11.06,,0.3086,,0.6914,,,,,,,,,,,,,0.3951,,,,Terrorism/political violence/forced displacement,,,,,8.15,2.48,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (15.34833 68.75014),Low,"Stenmark H, Catani C, Neuner F, et al. Treating PTSD in refugees and asylum seekers within the general health care system. A randomized controlled multicenter study. Behav Res Ther. 2013 Oct;51(10):641-7. doi: 10.1016/j.brat.2013.07.002. PMID: 23916633.",46540,2019
steuwe2021,2021,Psychotherapy,PTSD,58,"60 randomized, 2 excluded due to protocol violations (ITT sample = 58)",1,,CAPS for DSM-IV,77.67,14.68,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,31.05,8.29,,1,,0,Not reported,,,,,,,,,,,"All participants had ""at least one non-successful previous outpatient treatment"" for borderline personality disorder
At baseline, 87.5% of participants were taking a psychotropic medication",0.6,major depression assessed by SCID,,,Mixed,Child physical abuse; Child sexual abuse; Child other abuse; Community/school violence,,,,,,"CTQ mean and SD are provided for each trauma type, but not overall",,,Excluded,Current SUD: 0% (excluded),,,Attempted suicide at least once,1,"Attempted suicide at least once: 100%
At least one non-suicidal self injury (NSSI) event during 4 weeks prior to admission: 59.5%
Experienced suicidal thoughts during 4 weeks prior to admission: 82.9%",,Schizophrenia,0,Excluded lifetime diagnosis of schizophrenia,Borderline personality disorder,1,Inclusion criterion; mean 6.97 (SD 1.30) BPD criteria met,,,,,Trial conducted in residential inpatient setting.,POINT (10.38578 51.10698),High,"Steuwe C, Berg M, Beblo T, et al. Narrative exposure therapy in patients with posttraumatic stress disorder and borderline personality disorder in a naturalistic residential setting: a randomized controlled trial. Front Psychiatry 2021 Nov 26;12:765348. doi: 10.3389/fpsyt.2021.765348. PMID: 34899426.",1584985,2023
